1777824301.7944663; Key.shift; keydown
1777824302.0425262; W; keydown
1777824302.1131325; Key.shift; keyup
1777824302.1263297; w; keyup
1777824302.1902058; Key.space; keydown
1777824302.279277; Key.space; keyup
1777824302.291023; Key.shift; keydown
1777824302.4899747; S; keydown
1777824302.575862; S; keyup
1777824302.579173; Key.shift; keyup
1777824302.6995091; z; keydown
1777824302.7919328; z; keyup
1777824302.942142; c; keydown
1777824303.022252; c; keyup
1777824303.1357944; z; keydown
1777824303.2164793; z; keyup
1777824303.3309004; e; keydown
1777824303.4105136; e; keyup
1777824303.5700896; b; keydown
1777824303.6441886; b; keyup
1777824303.7653747; r; keydown
1777824303.848854; r; keyup
1777824303.9770293; z; keydown
1777824304.0753825; z; keyup
1777824304.1779628; e; keydown
1777824304.2559323; e; keyup
1777824304.3448262; s; keydown
1777824304.4117846; s; keyup
1777824304.4971287; z; keydown
1777824304.5846338; y; keydown
1777824304.6099904; z; keyup
1777824304.6689322; y; keyup
1777824304.794049; n; keydown
1777824304.8637106; i; keydown
1777824304.9123018; n; keyup
1777824304.9367502; e; keydown
1777824304.9711242; i; keyup
1777824305.02299; Key.space; keydown
1777824305.024985; e; keyup
1777824305.1279128; Key.space; keyup
1777824305.2635872; c; keydown
1777824305.336481; c; keyup
1777824305.3538527; h; keydown
1777824305.446614; h; keyup
1777824305.47732; r; keydown
1777824305.549929; r; keyup
1777824305.659601; z; keydown
1777824305.7470157; z; keyup
1777824305.7735052; Key.ctrl_l; keydown
1777824305.7753935; Key.alt_gr; keydown
1777824305.8775241; ą; keydown
1777824305.9686995; ą; keyup
1777824306.01682; Key.ctrl_l; keyup
1777824306.0174146; Key.alt_gr; keyup
1777824306.0830514; s; keydown
1777824306.15994; s; keyup
1777824306.2408261; z; keydown
1777824306.3393462; z; keyup
1777824306.3942292; c; keydown
1777824306.4628084; c; keyup
1777824306.5415444; z; keydown
1777824306.6249309; z; keyup
1777824306.9134047; Key.space; keydown
1777824307.028644; Key.space; keyup
1777824307.3523924; b; keydown
1777824307.3938305; b; keyup
1777824307.54514; r; keydown
1777824307.638615; r; keyup
1777824307.7632728; z; keydown
1777824307.839827; m; keydown
1777824307.8592947; z; keyup
1777824307.9147148; i; keydown
1777824307.9812791; m; keyup
1777824308.0016987; Key.space; keydown
1777824308.0258126; i; keyup
1777824308.0839052; Key.space; keyup
1777824308.0880854; w; keydown
1777824308.1473038; Key.space; keydown
1777824308.1837232; w; keyup
1777824308.2298446; Key.space; keyup
1777824308.2832847; t; keydown
1777824308.3759353; t; keyup
1777824308.4492683; r; keydown
1777824308.5305924; r; keyup
1777824308.6609035; z; keydown
1777824308.7563324; z; keyup
1777824308.8931422; c; keydown
1777824308.9616694; c; keyup
1777824309.0287337; i; keydown
1777824309.121596; i; keyup
1777824309.2479296; n; keydown
1777824309.3099408; i; keydown
1777824309.3755746; n; keyup
1777824309.3887613; e; keydown
1777824309.4126766; i; keyup
1777824309.483093; e; keyup
1777824309.6002753; .; keydown
1777824309.6873467; .; keyup
1777824309.7965658; Key.enter; keydown
1777824309.8769186; Key.enter; keyup
1777824310.408881; Key.enter; keydown
1777824310.4985023; Key.enter; keyup
1777824311.018798; Key.shift; keydown
1777824311.2379684; B; keydown
1777824311.2786913; B; keyup
1777824311.2994506; Key.shift; keyup
1777824311.3873014; i; keydown
1777824311.443587; i; keyup
1777824311.583895; o; keydown
1777824311.6753044; o; keyup
1777824311.9108758; m; keydown
1777824311.9858177; e; keydown
1777824311.9879224; m; keyup
1777824312.0715835; e; keyup
1777824312.1726122; t; keydown
1777824312.2323036; t; keyup
1777824312.3144174; r; keydown
1777824312.4060488; i; keydown
1777824312.4091127; r; keyup
1777824312.488492; a; keydown
1777824312.5085065; i; keyup
1777824312.5741503; a; keyup
1777824312.5898414; Key.space; keydown
1777824312.696779; Key.space; keyup
1777824312.8580887; b; keydown
1777824312.9165344; b; keyup
1777824313.0204847; e; keydown
1777824313.1054158; e; keyup
1777824313.1297457; h; keydown
1777824313.2188244; a; keydown
1777824313.224471; h; keyup
1777824313.278661; a; keyup
1777824313.3422098; w; keydown
1777824313.4351516; w; keyup
1777824313.4499302; i; keydown
1777824313.5116358; i; keyup
1777824313.593488; o; keydown
1777824313.6823905; o; keyup
1777824313.7015216; r; keydown
1777824313.7664618; a; keydown
1777824313.8233714; r; keyup
1777824313.8794165; a; keyup
1777824313.9044356; l; keydown
1777824313.972426; l; keyup
1777824314.0503983; n; keydown
1777824314.134365; a; keydown
1777824314.1352913; n; keyup
1777824314.2162836; Key.space; keydown
1777824314.227364; a; keyup
1777824314.2844026; Key.space; keyup
1777824314.2854667; j; keydown
1777824314.3506997; e; keydown
1777824314.37479; j; keyup
1777824314.4145753; e; keyup
1777824314.4768174; s; keydown
1777824314.5429773; s; keyup
1777824314.619782; t; keydown
1777824314.6996298; t; keyup
1777824314.8220646; Key.space; keydown
1777824314.9327471; Key.space; keyup
1777824314.9631808; b; keydown
1777824315.050098; b; keyup
1777824315.081123; a; keydown
1777824315.1553528; a; keyup
1777824315.2508326; r; keydown
1777824315.3259761; r; keyup
1777824315.4110317; d; keydown
1777824315.486145; d; keyup
1777824315.5608988; z; keydown
1777824315.6314807; o; keydown
1777824315.6503177; z; keyup
1777824315.7072875; Key.space; keydown
1777824315.7543979; o; keyup
1777824315.779194; Key.space; keyup
1777824315.7844133; c; keydown
1777824315.857324; c; keyup
1777824315.8939893; i; keydown
1777824315.980315; e; keydown
1777824315.9829054; i; keyup
1777824316.0843904; e; keyup
1777824316.0895226; k; keydown
1777824316.1183841; a; keydown
1777824316.1866739; k; keyup
1777824316.2215898; a; keyup
1777824316.2491567; w; keydown
1777824316.3004706; a; keydown
1777824316.3739562; w; keyup
1777824316.407197; a; keyup
1777824316.5084054; .; keydown
1777824316.5865715; .; keyup
1777824316.7463412; Key.enter; keydown
1777824316.8163178; Key.enter; keyup
1777824317.4470758; Key.shift; keydown
1777824317.7141323; P; keydown
1777824317.7734663; Key.shift; keyup
1777824317.8018587; p; keyup
1777824317.8481915; Key.ctrl_l; keydown
1777824317.8486054; Key.alt_gr; keydown
1777824317.9343135; ó; keydown
1777824318.0022802; ó; keyup
1777824318.0221107; Key.ctrl_l; keyup
1777824318.0226853; Key.alt_gr; keyup
1777824318.0884454; Key.ctrl_l; keydown
1777824318.0899503; Key.alt_gr; keydown
1777824318.1880703; ź; keydown
1777824318.2633326; Key.ctrl_l; keyup
1777824318.2638915; Key.alt_gr; keyup
1777824318.27501; x; keyup
1777824318.3336215; n; keydown
1777824318.3844736; i; keydown
1777824318.4243484; n; keyup
1777824318.4701552; e; keydown
1777824318.4728012; i; keyup
1777824318.5454867; j; keydown
1777824318.565162; e; keyup
1777824318.6239696; Key.space; keydown
1777824318.652097; j; keyup
1777824318.7210846; Key.space; keyup
1777824318.834233; w; keydown
1777824318.9119859; Key.ctrl_l; keydown
1777824318.9123144; Key.alt_gr; keydown
1777824318.9241421; None; keyup
1777824319.0141685; ł; keydown
1777824319.0572255; ł; keyup
1777824319.089989; Key.ctrl_l; keyup
1777824319.0902288; Key.alt_gr; keyup
1777824319.157981; Key.ctrl_l; keydown
1777824319.1582944; Key.alt_gr; keydown
1777824319.271174; ą; keydown
1777824319.3560834; ą; keyup
1777824319.4059694; Key.ctrl_l; keyup
1777824319.4062684; Key.alt_gr; keyup
1777824319.4609666; c; keydown
1777824319.524458; c; keyup
1777824319.637581; z; keydown
1777824319.7396066; z; keyup
1777824319.742656; Key.space; keydown
1777824319.8417633; Key.space; keyup
1777824319.901291; t; keydown
1777824319.9800394; t; keyup
1777824320.0139465; Key.ctrl_l; keydown
1777824320.0143626; Key.alt_gr; keydown
1777824320.110659; ę; keydown
1777824320.2106283; ę; keyup
