1777824222.75618; Key.enter; keyup
1777824223.4259374; Key.shift; keydown
1777824223.7007022; W; keydown
1777824223.7933521; Key.shift; keyup
1777824223.8223603; w; keyup
1777824223.8852646; Key.space; keydown
1777824223.98898; Key.space; keyup
1777824224.1896844; Key.shift; keydown
1777824224.5374684; S; keydown
1777824224.6135457; Key.shift; keyup
1777824224.617325; s; keyup
1777824224.7476723; z; keydown
1777824224.8311255; z; keyup
1777824224.9211211; c; keydown
1777824224.9969163; c; keyup
1777824225.1019762; z; keydown
1777824225.1848757; z; keyup
1777824225.314403; e; keydown
1777824225.3800256; e; keyup
1777824225.5330153; b; keydown
1777824225.5883112; b; keyup
1777824225.7518837; r; keydown
1777824225.8045006; r; keyup
1777824226.2690282; z; keydown
1777824226.3694859; z; keyup
1777824226.5160997; e; keydown
1777824226.6114225; e; keyup
1777824226.7211716; s; keydown
1777824226.786698; s; keyup
1777824226.8652792; z; keydown
1777824226.9705646; z; keyup
1777824226.9734151; y; keydown
1777824227.0648823; y; keyup
1777824227.1882322; n; keydown
1777824227.271758; i; keydown
1777824227.320389; n; keyup
1777824227.356673; e; keydown
1777824227.380176; i; keyup
1777824227.434807; e; keyup
1777824227.4528594; Key.space; keydown
1777824227.5458405; Key.space; keyup
1777824227.5621123; c; keydown
1777824227.6429033; c; keyup
1777824227.6521323; h; keydown
1777824227.7693424; h; keyup
1777824227.912345; r; keydown
1777824228.0019906; r; keyup
1777824228.1364584; z; keydown
1777824228.223627; z; keyup
1777824228.2510486; Key.ctrl_l; keydown
1777824228.2518325; Key.alt_gr; keydown
1777824228.3586817; ą; keydown
1777824228.464542; ą; keyup
1777824228.7285857; Key.ctrl_l; keyup
1777824228.7306578; Key.alt_gr; keyup
1777824228.8376596; s; keydown
1777824228.8981507; s; keyup
1777824228.9869275; z; keydown
1777824229.06922; z; keyup
1777824229.159349; c; keydown
1777824229.2174673; c; keyup
1777824229.3199284; z; keydown
1777824229.3978884; z; keyup
1777824229.4611883; Key.space; keydown
1777824229.5541632; Key.space; keyup
1777824229.644732; b; keydown
1777824229.7094612; b; keyup
1777824229.841374; r; keydown
1777824229.922764; r; keyup
1777824230.0463588; z; keydown
1777824230.1389403; m; keydown
1777824230.1521974; z; keyup
1777824230.2246203; i; keydown
1777824230.3037658; m; keyup
1777824230.329689; Key.space; keydown
1777824230.3447766; i; keyup
1777824230.3758006; w; keydown
1777824230.4057212; Key.space; keyup
1777824230.479797; Key.space; keydown
1777824230.5007634; w; keyup
1777824230.5846753; Key.space; keyup
1777824230.6725588; t; keydown
1777824230.7584283; t; keyup
1777824230.8267753; r; keydown
1777824230.906762; r; keyup
1777824231.0318065; z; keydown
1777824231.1100566; z; keyup
1777824231.21903; c; keydown
1777824231.2900186; c; keyup
1777824231.2970922; i; keydown
1777824231.3682246; i; keyup
1777824231.4718807; n; keydown
1777824231.5362124; i; keydown
1777824231.5869906; n; keyup
1777824231.6336243; e; keydown
1777824231.6358085; i; keyup
1777824231.7334354; e; keyup
1777824232.0809765; .; keydown
1777824232.1527145; .; keyup
1777824232.393847; Key.enter; keydown
1777824232.4741507; Key.enter; keyup
1777824233.1252756; Key.shift; keydown
1777824233.357608; B; keydown
1777824233.4279811; B; keyup
1777824233.4387295; Key.shift; keyup
1777824233.5106473; i; keydown
1777824233.5646603; i; keyup
1777824233.6578047; o; keydown
1777824233.7147343; o; keyup
1777824233.8219464; m; keydown
1777824233.9129436; m; keyup
1777824233.9149082; e; keydown
1777824233.9815814; e; keyup
1777824234.0773747; t; keydown
1777824234.134636; t; keyup
1777824234.219379; r; keydown
1777824234.3095093; r; keyup
1777824234.3563623; i; keydown
1777824234.4430182; i; keyup
1777824234.4623435; a; keydown
1777824234.5522752; a; keyup
1777824234.6817849; Key.space; keydown
1777824234.7930348; Key.space; keyup
1777824235.1631272; b; keydown
1777824235.229217; b; keyup
1777824235.3313649; e; keydown
1777824235.4119885; h; keydown
1777824235.4255786; e; keyup
1777824235.5069196; h; keyup
1777824235.5169356; a; keydown
1777824235.5869935; a; keyup
1777824235.6589196; w; keydown
1777824235.7397528; i; keydown
1777824235.7636418; w; keyup
1777824235.7988894; i; keyup
1777824235.890966; o; keydown
1777824235.9863465; o; keyup
1777824236.0039499; r; keydown
1777824236.0747936; a; keydown
1777824236.1211793; r; keyup
1777824236.1780453; a; keyup
1777824236.2192402; l; keydown
1777824236.2872555; l; keyup
1777824236.3856535; n; keydown
1777824236.4551198; n; keyup
1777824236.4725075; a; keydown
1777824236.5434282; Key.space; keydown
1777824236.56242; a; keyup
1777824236.616725; Key.space; keyup
1777824236.6374748; j; keydown
1777824236.6951969; e; keydown
1777824236.7424474; j; keyup
1777824236.763406; e; keyup
1777824236.829021; s; keydown
1777824236.8951545; s; keyup
1777824236.957712; t; keydown
1777824237.029957; t; keyup
1777824237.050944; Key.space; keydown
1777824237.1578655; Key.space; keyup
1777824237.183566; b; keydown
1777824237.2642436; b; keyup
1777824237.270029; a; keydown
1777824237.3459053; a; keyup
1777824237.419856; r; keydown
1777824237.5272436; r; keyup
1777824237.617611; d; keydown
1777824237.701896; d; keyup
1777824237.8016074; z; keydown
1777824237.8764865; o; keydown
1777824237.8984685; z; keyup
1777824237.9663792; Key.space; keydown
1777824238.0045135; o; keyup
1777824238.0505967; Key.space; keyup
1777824238.0598643; c; keydown
1777824238.1422415; c; keyup
1777824238.1457732; i; keydown
1777824238.2298112; i; keyup
1777824238.2617784; e; keydown
1777824238.3240132; e; keyup
1777824238.341354; k; keydown
1777824238.3915973; a; keydown
1777824238.4146821; k; keyup
1777824238.4595904; a; keyup
1777824238.5120435; w; keydown
1777824238.5912545; a; keydown
1777824238.6416342; w; keyup
1777824238.689003; a; keyup
1777824238.8272462; .; keydown
1777824238.9247384; .; keyup
1777824239.1447227; Key.enter; keydown
1777824239.2459648; Key.enter; keyup
1777824239.8133922; Key.shift; keydown
1777824239.9554627; P; keydown
1777824240.012132; Key.shift; keyup
1777824240.0275087; p; keyup
1777824240.0947032; Key.ctrl_l; keydown
1777824240.0957854; Key.alt_gr; keydown
1777824240.1946363; ó; keydown
1777824240.2869291; ó; keyup
1777824240.2961304; Key.ctrl_l; keyup
1777824240.297193; Key.alt_gr; keyup
1777824240.3848228; Key.ctrl_l; keydown
1777824240.3862212; Key.alt_gr; keydown
1777824240.534689; ź; keydown
1777824240.5983944; Key.ctrl_l; keyup
1777824240.599114; Key.alt_gr; keyup
1777824240.64584; x; keyup
1777824240.7021108; n; keydown
1777824240.7688212; i; keydown
1777824240.8112483; n; keyup
1777824240.8614063; i; keyup
1777824240.8763988; e; keydown
1777824240.960451; e; keyup
1777824240.9685109; j; keydown
1777824241.044397; Key.space; keydown
1777824241.065231; j; keyup
1777824241.151657; Key.space; keyup
1777824241.1914947; w; keydown
1777824241.28995; w; keyup
1777824241.2973723; Key.ctrl_l; keydown
1777824241.2981591; Key.alt_gr; keydown
1777824241.406911; ł; keydown
1777824241.4832413; ł; keyup
1777824241.500073; Key.ctrl_l; keyup
1777824241.500354; Key.alt_gr; keyup
1777824241.5727232; Key.ctrl_l; keydown
1777824241.576462; Key.alt_gr; keydown
1777824241.676622; ą; keydown
