1777824258.889075; Key.shift; keydown
1777824259.0505056; W; keydown
1777824259.175748; Key.shift; keyup
1777824259.2180834; w; keyup
1777824259.259821; Key.space; keydown
1777824259.3697135; Key.space; keyup
1777824259.3733382; s; keydown
1777824259.4702032; s; keyup
1777824259.5676825; z; keydown
1777824259.6482475; z; keyup
1777824259.8887184; Key.backspace; keydown
1777824259.954122; Key.backspace; keyup
1777824260.009587; Key.backspace; keydown
1777824260.0772557; Key.backspace; keyup
1777824260.1061847; Key.shift; keydown
1777824260.220931; S; keydown
1777824260.3260963; S; keyup
1777824260.3284433; Key.shift; keyup
1777824260.402841; z; keydown
1777824260.5171623; z; keyup
1777824260.5818453; c; keydown
1777824260.653202; c; keyup
1777824260.742216; z; keydown
1777824260.8272738; z; keyup
1777824260.9423592; e; keydown
1777824261.0007005; e; keyup
1777824261.1209393; b; keydown
1777824261.1926315; b; keyup
1777824261.2931173; r; keydown
1777824261.3724282; r; keyup
1777824261.500254; z; keydown
1777824261.5971825; z; keyup
1777824261.6964602; e; keydown
1777824261.7758343; e; keyup
1777824261.8583722; s; keydown
1777824261.9352233; s; keyup
1777824261.9965274; z; keydown
1777824262.1026485; y; keydown
1777824262.115195; z; keyup
1777824262.1738644; y; keyup
1777824262.3109071; n; keydown
1777824262.3879032; i; keydown
1777824262.4361658; n; keyup
1777824262.4483714; e; keydown
1777824262.4882958; i; keyup
1777824262.531036; e; keyup
1777824262.5355792; Key.space; keydown
1777824262.6351516; Key.space; keyup
1777824262.6631758; c; keydown
1777824262.748448; c; keyup
1777824262.9773552; h; keydown
1777824263.019222; h; keyup
1777824263.1794665; r; keydown
1777824263.2695038; r; keyup
1777824263.4036584; z; keydown
1777824263.508777; z; keyup
1777824263.5361073; Key.ctrl_l; keydown
1777824263.5366814; Key.alt_gr; keydown
1777824263.665582; ą; keydown
1777824263.770798; ą; keyup
1777824263.8286054; Key.ctrl_l; keyup
1777824263.8301468; Key.alt_gr; keyup
1777824263.905522; s; keydown
1777824263.9850118; s; keyup
1777824264.0624003; z; keydown
1777824264.1574724; z; keyup
1777824264.225254; c; keydown
1777824264.2702506; c; keyup
1777824264.381851; z; keydown
1777824264.4601715; z; keyup
1777824264.5011997; a; keydown
1777824264.5773036; a; keyup
1777824264.8185022; Key.backspace; keydown
1777824264.9004164; Key.backspace; keyup
1777824264.9929147; Key.space; keydown
1777824265.091202; Key.space; keyup
1777824265.1283321; b; keydown
1777824265.1913536; b; keyup
1777824265.311429; r; keydown
1777824265.3885007; r; keyup
1777824265.5031893; z; keydown
1777824265.576747; m; keydown
1777824265.618066; z; keyup
1777824265.6442773; i; keydown
1777824265.7022815; m; keyup
1777824265.7592082; Key.space; keydown
1777824265.7739203; i; keyup
1777824265.8592997; Key.space; keyup
1777824265.8743417; w; keydown
1777824265.938457; Key.space; keydown
1777824265.9789927; w; keyup
1777824266.050864; Key.space; keyup
1777824266.0897331; t; keydown
1777824266.1648717; t; keyup
1777824266.245663; r; keydown
1777824266.3251398; r; keyup
1777824266.460448; z; keydown
1777824266.5485291; z; keyup
1777824266.6519294; c; keydown
1777824266.7234867; c; keyup
1777824266.775383; i; keydown
1777824266.8611605; i; keyup
1777824266.964438; n; keydown
1777824267.0383167; i; keydown
1777824267.1004446; n; keyup
1777824267.1408658; i; keyup
1777824267.1433432; e; keydown
1777824267.2261367; e; keyup
1777824267.3352833; .; keydown
1777824267.4128044; .; keyup
1777824267.5262496; Key.enter; keydown
1777824267.602497; Key.enter; keyup
1777824272.0483484; Key.down; keydown
1777824272.174385; Key.down; keyup
1777824272.68235; Key.up; keydown
1777824272.8156788; Key.up; keyup
1777824274.8188367; Key.enter; keydown
1777824274.9007907; Key.enter; keyup
